day	downloads
2012-10-22	1115
2012-10-23	6156
2012-10-24	6411
2012-10-25	5923
2012-10-26	5576
2012-10-27	2587
2012-10-28	2857
2012-10-29	5767
2012-10-30	7021
2012-10-31	7033
2012-11-01	6405
2012-11-02	6669
2012-11-03	3746
2012-11-04	3707
2012-11-05	7530
2012-11-06	8277
2012-11-07	7061
2012-11-08	6984
2012-11-09	6355
2012-11-10	3159
2012-11-11	2482
2012-11-12	5369
2012-11-13	6309
2012-11-14	6806
2012-11-15	6251
2012-11-16	5677
2012-11-17	3120
2012-11-18	2700
2012-11-19	6848
2012-11-20	7698
2012-11-21	7843
2012-11-22	5001
2012-11-23	4544
2012-11-24	2626
2012-11-25	2596
2012-11-26	6812
2012-11-27	7511
2012-11-28	7519
2012-11-29	7950
2012-11-30	8123
2012-12-01	16067
2012-12-02	3671
2012-12-03	9410
2012-12-04	9139
2012-12-05	9750
2012-12-06	8752
2012-12-07	7970
2012-12-08	3714
2012-12-09	3329
2012-12-10	7804
2012-12-11	9094
2012-12-12	8181
2012-12-13	8483
2012-12-14	8103
2012-12-15	4093
2012-12-16	3755
2012-12-17	8422
2012-12-18	9479
2012-12-19	8709
2012-12-20	7988
2012-12-21	6161
2012-12-22	3307
2012-12-23	3524
2012-12-24	3695
2012-12-25	2795
2012-12-26	4045
2012-12-27	4969
2012-12-28	5222
2012-12-29	3616
2012-12-30	3004
2012-12-31	3690
2013-01-01	2215
2013-01-02	6915
2013-01-03	7289
2013-01-04	7129
2013-01-05	3950
2013-01-06	4032
2013-01-07	8533
2013-01-08	8931
2013-01-09	8945
2013-01-10	8770
2013-01-11	8531
2013-01-12	4136
2013-01-13	3908
2013-01-14	9395
2013-01-15	10519
2013-01-16	9350
2013-01-17	9926
2013-01-18	9679
2013-01-19	4853
2013-01-20	4279
2013-01-21	9172
2013-01-22	9566
2013-01-23	10464
2013-01-24	9724
2013-01-25	9804
2013-01-26	5310
2013-01-27	5277
2013-01-28	9581
2013-01-29	11045
2013-01-30	13851
2013-01-31	13200
2013-02-01	11320
2013-02-02	6203
2013-02-03	6139
2013-02-04	10652
2013-02-05	11838
2013-02-06	12350
2013-02-07	12411
2013-02-08	12243
2013-02-09	6817
2013-02-10	7245
2013-02-11	12764
2013-02-12	13554
2013-02-13	10818
2013-02-14	11375
2013-02-15	11710
2013-02-16	6698
2013-02-17	6176
2013-02-18	11601
2013-02-19	13859
2013-02-20	12990
2013-02-21	12998
2013-02-22	13440
2013-02-23	6537
2013-02-24	5761
2013-02-25	13451
2013-02-26	14760
2013-02-27	13423
2013-02-28	13318
2013-03-01	11945
2013-03-02	6356
2013-03-03	5511
2013-03-04	11502
2013-03-05	12350
2013-03-06	12718
2013-03-07	14315
2013-03-08	13154
2013-03-09	6766
2013-03-10	5846
2013-03-11	13051
2013-03-12	14500
2013-03-13	15285
2013-03-14	16807
2013-03-15	15033
2013-03-16	8064
2013-03-17	7345
2013-03-18	14201
2013-03-19	15445
2013-03-20	14649
2013-03-21	15463
2013-03-22	13755
2013-03-23	6893
2013-03-24	7389
2013-03-25	13651
2013-03-26	14276
2013-03-27	14273
2013-03-28	14438
2013-03-29	11277
2013-03-30	6005
2013-03-31	5094
2013-04-01	9708
2013-04-02	13803
2013-04-03	15271
2013-04-04	15516
2013-04-05	13291
2013-04-06	5704
2013-04-07	6084
2013-04-08	14228
2013-04-09	14652
2013-04-10	14619
2013-04-11	16087
2013-04-12	14255
2013-04-13	6541
2013-04-14	6674
2013-04-15	14205
2013-04-16	15619
2013-04-17	18834
2013-04-18	19298
2013-04-19	15895
2013-04-20	7416
2013-04-21	7907
2013-04-22	15785
2013-04-23	17186
2013-04-24	20773
2013-04-25	19123
2013-04-26	18233
2013-04-27	9029
2013-04-28	8139
2013-04-29	17651
2013-04-30	17978
2013-05-01	15100
2013-05-02	16686
2013-05-03	16189
2013-05-04	7310
2013-05-05	7165
2013-05-06	15491
2013-05-07	17740
2013-05-08	16829
2013-05-09	16078
2013-05-10	14869
2013-05-11	6756
2013-05-12	6139
2013-05-13	15439
2013-05-14	20083
2013-05-15	20083
2013-05-16	18099
2013-05-17	16620
2013-05-18	8527
2013-05-19	7574
2013-05-20	15830
2013-05-21	19055
2013-05-22	17502
2013-05-23	16571
2013-05-24	15890
2013-05-25	6604
2013-05-26	6082
2013-05-27	12570
2013-05-28	16381
2013-05-29	17709
2013-05-30	16942
2013-05-31	15555
2013-06-01	6745
2013-06-02	6612
2013-06-03	16420
2013-06-04	18799
2013-06-05	17658
2013-06-06	19734
2013-06-07	18246
2013-06-08	7523
2013-06-09	7605
2013-06-10	16233
2013-06-11	19463
2013-06-12	20122
2013-06-13	19713
2013-06-14	19431
2013-06-15	8435
2013-06-16	7060
2013-06-17	19108
2013-06-18	20189
2013-06-19	22903
2013-06-20	20789
2013-06-21	18778
2013-06-22	8013
2013-06-23	8284
2013-06-24	18301
2013-06-25	21749
2013-06-26	19487
2013-06-27	20958
2013-06-28	20215
2013-06-29	9725
2013-06-30	7870
2013-07-01	19279
2013-07-02	22068
2013-07-03	22087
2013-07-04	17956
2013-07-05	18405
2013-07-06	10324
2013-07-07	12237
2013-07-08	28307
2013-07-09	27815
2013-07-10	33980
2013-07-11	32326
2013-07-12	28330
2013-07-13	12345
2013-07-14	12963
2013-07-15	30887
2013-07-16	33411
2013-07-17	33635
2013-07-18	34102
2013-07-19	31636
2013-07-20	17384
2013-07-21	15132
2013-07-22	35433
2013-07-23	40389
2013-07-24	39902
2013-07-25	38777
2013-07-26	33906
2013-07-27	14870
2013-07-28	13318
2013-07-29	32777
2013-07-30	36655
2013-07-31	32958
2013-08-01	31679
2013-08-02	30197
2013-08-03	13532
2013-08-04	10780
2013-08-05	28801
2013-08-06	86626
2013-08-07	34595
2013-08-08	32523
2013-08-09	29501
2013-08-10	13324
2013-08-11	11552
2013-08-12	29609
2013-08-13	33541
2013-08-14	34468
