day	downloads
2012-10-22	1386
2012-10-23	7964
2012-10-24	10361
2012-10-25	9102
2012-10-26	8290
2012-10-27	4902
2012-10-28	4697
2012-10-29	8000
2012-10-30	8525
2012-10-31	8677
2012-11-01	7606
2012-11-02	10395
2012-11-03	4965
2012-11-04	4112
2012-11-05	8195
2012-11-06	8586
2012-11-07	7808
2012-11-08	8878
2012-11-09	9311
2012-11-10	5109
2012-11-11	4091
2012-11-12	7625
2012-11-13	8821
2012-11-14	9497
2012-11-15	8141
2012-11-16	8057
2012-11-17	4771
2012-11-18	4452
2012-11-19	8369
2012-11-20	9591
2012-11-21	10055
2012-11-22	6461
2012-11-23	5637
2012-11-24	4340
2012-11-25	3884
2012-11-26	8201
2012-11-27	10637
2012-11-28	10392
2012-11-29	10193
2012-11-30	10445
2012-12-01	4982
2012-12-02	4241
2012-12-03	8245
2012-12-04	9536
2012-12-05	9643
2012-12-06	11131
2012-12-07	9686
2012-12-08	5162
2012-12-09	4490
2012-12-10	9120
2012-12-11	9563
2012-12-12	9746
2012-12-13	8860
2012-12-14	9438
2012-12-15	4661
2012-12-16	4004
2012-12-17	8127
2012-12-18	8388
2012-12-19	8519
2012-12-20	9616
2012-12-21	8330
2012-12-22	4252
2012-12-23	3978
2012-12-24	4374
2012-12-25	3427
2012-12-26	4825
2012-12-27	6046
2012-12-28	5939
2012-12-29	4495
2012-12-30	3900
2012-12-31	4383
2013-01-01	2881
2013-01-02	6818
2013-01-03	7620
2013-01-04	7784
2013-01-05	5820
2013-01-06	5494
2013-01-07	9876
2013-01-08	10134
2013-01-09	10398
2013-01-10	9236
2013-01-11	9464
2013-01-12	5542
2013-01-13	5123
2013-01-14	9719
2013-01-15	11181
2013-01-16	10384
2013-01-17	11654
2013-01-18	9960
2013-01-19	5797
2013-01-20	5261
2013-01-21	9224
2013-01-22	10430
2013-01-23	10338
2013-01-24	10616
2013-01-25	10487
2013-01-26	6573
2013-01-27	6188
2013-01-28	11005
2013-01-29	11541
2013-01-30	12292
2013-01-31	11749
2013-02-01	11423
2013-02-02	6136
2013-02-03	5906
2013-02-04	10126
2013-02-05	11573
2013-02-06	11220
2013-02-07	11670
2013-02-08	9818
2013-02-09	6131
2013-02-10	6576
2013-02-11	10873
2013-02-12	11514
2013-02-13	10162
2013-02-14	10223
2013-02-15	12496
2013-02-16	7708
2013-02-17	7501
2013-02-18	10213
2013-02-19	11658
2013-02-20	12075
2013-02-21	14798
2013-02-22	15319
2013-02-23	9951
2013-02-24	9204
2013-02-25	14750
2013-02-26	16773
2013-02-27	15228
2013-02-28	15002
2013-03-01	15472
2013-03-02	9850
2013-03-03	9333
2013-03-04	13840
2013-03-05	15335
2013-03-06	15326
2013-03-07	15848
2013-03-08	15909
2013-03-09	10636
2013-03-10	9306
2013-03-11	14777
2013-03-12	16340
2013-03-13	16516
2013-03-14	17299
2013-03-15	16063
2013-03-16	10599
2013-03-17	10888
2013-03-18	17307
2013-03-19	17570
2013-03-20	18202
2013-03-21	18200
2013-03-22	16419
2013-03-23	11268
2013-03-24	11146
2013-03-25	16854
2013-03-26	17062
2013-03-27	16353
2013-03-28	17314
2013-03-29	14895
2013-03-30	10985
2013-03-31	10449
2013-04-01	15680
2013-04-02	19869
2013-04-03	20950
2013-04-04	19355
2013-04-05	17862
2013-04-06	12064
2013-04-07	12365
2013-04-08	18430
2013-04-09	19914
2013-04-10	18061
2013-04-11	17784
2013-04-12	17348
2013-04-13	9774
2013-04-14	8295
2013-04-15	15845
2013-04-16	18408
2013-04-17	19725
2013-04-18	18149
2013-04-19	15679
2013-04-20	9075
2013-04-21	8625
2013-04-22	17017
2013-04-23	16904
2013-04-24	18955
2013-04-25	17395
2013-04-26	16556
2013-04-27	11058
2013-04-28	9947
2013-04-29	16301
2013-04-30	17644
2013-05-01	14411
2013-05-02	17501
2013-05-03	17478
2013-05-04	9704
2013-05-05	8888
2013-05-06	16576
2013-05-07	18547
2013-05-08	18107
2013-05-09	17980
2013-05-10	16931
2013-05-11	9718
2013-05-12	8752
2013-05-13	16644
2013-05-14	18906
2013-05-15	18190
2013-05-16	17587
2013-05-17	15896
2013-05-18	8978
2013-05-19	8013
2013-05-20	15007
2013-05-21	17036
2013-05-22	19801
2013-05-23	17395
2013-05-24	17186
2013-05-25	9213
2013-05-26	8002
2013-05-27	13882
2013-05-28	17320
2013-05-29	17917
2013-05-30	17722
2013-05-31	16305
2013-06-01	8551
2013-06-02	8142
2013-06-03	18831
2013-06-04	18772
2013-06-05	17769
2013-06-06	18505
2013-06-07	17788
2013-06-08	8935
2013-06-09	9125
2013-06-10	16446
2013-06-11	17925
2013-06-12	17475
2013-06-13	18781
2013-06-14	18417
2013-06-15	9850
2013-06-16	7848
2013-06-17	17328
2013-06-18	20765
2013-06-19	21878
2013-06-20	19441
2013-06-21	16468
2013-06-22	9185
2013-06-23	8821
2013-06-24	17630
2013-06-25	19506
2013-06-26	19917
2013-06-27	22285
2013-06-28	20216
2013-06-29	10464
2013-06-30	8795
2013-07-01	17088
2013-07-02	19812
2013-07-03	20052
2013-07-04	16527
2013-07-05	14863
2013-07-06	7965
2013-07-07	7602
2013-07-08	19063
2013-07-09	24724
2013-07-10	36295
2013-07-11	32910
2013-07-12	27110
2013-07-13	14195
2013-07-14	14013
2013-07-15	24267
2013-07-16	26423
2013-07-17	25811
2013-07-18	25064
2013-07-19	24880
2013-07-20	14936
2013-07-21	13780
2013-07-22	27759
2013-07-23	31322
2013-07-24	28460
2013-07-25	27542
2013-07-26	23399
2013-07-27	12583
2013-07-28	10778
2013-07-29	24229
2013-07-30	25915
2013-07-31	23895
2013-08-01	22652
2013-08-02	22142
2013-08-03	11917
2013-08-04	10660
2013-08-05	23756
2013-08-06	70783
2013-08-07	28915
2013-08-08	25458
2013-08-09	22952
2013-08-10	12607
2013-08-11	12895
2013-08-12	25520
2013-08-13	27074
2013-08-14	26116
2013-08-15	25158
2013-08-16	23857
2013-08-17	13668
2013-08-18	12821
2013-08-19	25566
2013-08-20	5311
2013-11-02	12682
2013-11-03	17840
2013-11-04	5284
2013-11-06	32090
2013-11-07	36694
2013-11-08	35784
2013-11-09	19954
2013-11-10	17511
2013-11-11	31230
2013-11-12	33435
2013-11-13	32413
2013-11-14	32387
2013-11-15	29995
2013-11-16	18633
2013-11-17	17937
2013-11-18	30322
2013-11-19	33316
2013-11-20	31456
2013-11-21	30258
2013-11-22	29191
2013-11-23	18788
2013-11-24	15876
2013-11-25	32688
2013-11-26	35848
2013-11-27	30912
2013-11-28	30434
2013-11-29	24285
2013-11-30	15747
2013-12-01	16875
2013-12-02	34130
2013-12-03	34708
2013-12-04	33732
2013-12-05	30434
2013-12-06	28357
2013-12-07	18014
2013-12-08	19892
2013-12-09	31573
2013-12-10	33332
2013-12-11	38172
2013-12-12	36599
2013-12-13	31176
2013-12-14	17185
2013-12-15	16082
2013-12-16	30815
2013-12-17	31665
2013-12-18	32932
2013-12-19	16777
2013-12-20	12325
2013-12-21	6831
2013-12-22	6111
2013-12-23	9425
2013-12-24	10489
2013-12-25	1603
2013-12-26	2020
2013-12-27	9741
2013-12-28	5342
2013-12-29	5750
2013-12-30	9437
2013-12-31	6107
2014-01-01	5852
2014-01-02	9941
2014-01-03	9286
2014-01-04	15951
2014-01-05	14642
2014-01-06	26295
2014-01-07	29314
2014-01-08	21914
2014-01-09	1016
2014-01-10	10115
2014-01-11	110
2014-01-13	1
2014-01-14	7
2014-01-15	155
2014-01-16	14572
2014-01-17	32573
2014-01-18	18224
2014-01-19	18154
2014-01-20	33662
2014-01-21	38584
2014-01-22	37887
2014-01-23	37341
2014-01-24	33821
2014-01-25	20231
2014-01-26	20556
2014-01-27	37227
2014-01-28	36250
2014-01-29	35757
2014-01-30	32594
2014-01-31	27779
2014-02-01	17132
2014-02-02	15444
2014-02-03	29476
2014-02-04	36125
2014-02-05	37529
2014-02-06	43130
2014-02-07	36669
2014-02-08	24600
2014-02-09	24142
2014-02-10	38023
2014-02-11	41147
2014-02-12	38720
2014-02-13	39103
2014-02-14	34614
2014-02-15	23551
2014-02-16	21634
2014-02-17	35042
2014-02-18	38477
2014-02-19	41830
2014-02-20	8192
2014-02-27	7999
2014-02-28	25067
2014-03-01	19897
2014-03-02	20652
2014-03-03	25236
2014-03-04	37494
2014-03-05	41060
2014-03-06	40264
2014-03-07	37706
