day	downloads
2012-10-22	94
2012-10-23	632
2012-10-24	854
2012-10-25	702
2012-10-26	629
2012-10-27	325
2012-10-28	355
2012-10-29	561
2012-10-30	691
2012-10-31	955
2012-11-01	674
2012-11-02	598
2012-11-03	291
2012-11-04	232
2012-11-05	715
2012-11-06	745
2012-11-07	608
2012-11-08	589
2012-11-09	764
2012-11-10	452
2012-11-11	366
2012-11-12	751
2012-11-13	731
2012-11-14	746
2012-11-15	676
2012-11-16	626
2012-11-17	373
2012-11-18	373
2012-11-19	980
2012-11-20	728
2012-11-21	751
2012-11-22	633
2012-11-23	563
2012-11-24	395
2012-11-25	287
2012-11-26	805
2012-11-27	1073
2012-11-28	1007
2012-11-29	994
2012-11-30	813
2012-12-01	436
2012-12-02	354
2012-12-03	927
2012-12-04	1096
2012-12-05	1092
2012-12-06	1077
2012-12-07	917
2012-12-08	433
2012-12-09	462
2012-12-10	1089
2012-12-11	1146
2012-12-12	1166
2012-12-13	1267
2012-12-14	1223
2012-12-15	566
2012-12-16	563
2012-12-17	1407
2012-12-18	1380
2012-12-19	1493
2012-12-20	1197
2012-12-21	971
2012-12-22	540
2012-12-23	428
2012-12-24	531
2012-12-25	454
2012-12-26	628
2012-12-27	801
2012-12-28	827
2012-12-29	459
2012-12-30	495
2012-12-31	587
2013-01-01	466
2013-01-02	1378
2013-01-03	1325
2013-01-04	1360
2013-01-05	679
2013-01-06	756
2013-01-07	1608
2013-01-08	1611
2013-01-09	1817
2013-01-10	1587
2013-01-11	1204
2013-01-12	793
2013-01-13	596
2013-01-14	1660
2013-01-15	1947
2013-01-16	1777
2013-01-17	1852
2013-01-18	1710
2013-01-19	786
2013-01-20	730
2013-01-21	1646
2013-01-22	1713
2013-01-23	1866
2013-01-24	1817
2013-01-25	1756
2013-01-26	895
2013-01-27	808
2013-01-28	1819
2013-01-29	2152
2013-01-30	2239
2013-01-31	2143
2013-02-01	2188
2013-02-02	1090
2013-02-03	1023
2013-02-04	2176
2013-02-05	2679
2013-02-06	2607
2013-02-07	2612
2013-02-08	2537
2013-02-09	1327
2013-02-10	1156
2013-02-11	2652
2013-02-12	2849
2013-02-13	2587
2013-02-14	2629
2013-02-15	3325
2013-02-16	1949
2013-02-17	1892
2013-02-18	3876
2013-02-19	4735
2013-02-20	4293
2013-02-21	4416
2013-02-22	4006
2013-02-23	2321
2013-02-24	2304
2013-02-25	5348
2013-02-26	5672
2013-02-27	5348
2013-02-28	5148
2013-03-01	5045
2013-03-02	2536
2013-03-03	2302
2013-03-04	5135
2013-03-05	4705
2013-03-06	5182
2013-03-07	5688
2013-03-08	5820
2013-03-09	3516
2013-03-10	3021
2013-03-11	7465
2013-03-12	7701
2013-03-13	7729
2013-03-14	7863
2013-03-15	6962
2013-03-16	3528
2013-03-17	3396
2013-03-18	7339
2013-03-19	7505
2013-03-20	7595
2013-03-21	7279
2013-03-22	6630
2013-03-23	3260
2013-03-24	3050
2013-03-25	6463
2013-03-26	7565
2013-03-27	8501
2013-03-28	8407
2013-03-29	6422
2013-03-30	3701
2013-03-31	3136
2013-04-01	6230
2013-04-02	8971
2013-04-03	8378
2013-04-04	8139
2013-04-05	7487
2013-04-06	3892
2013-04-07	3972
2013-04-08	8108
2013-04-09	8771
2013-04-10	8741
2013-04-11	9052
2013-04-12	8280
2013-04-13	4240
2013-04-14	3848
2013-04-15	8629
2013-04-16	9570
2013-04-17	9543
2013-04-18	8985
2013-04-19	8075
2013-04-20	4185
2013-04-21	3608
2013-04-22	8587
2013-04-23	9617
2013-04-24	11413
2013-04-25	10659
2013-04-26	10069
2013-04-27	5023
2013-04-28	5310
2013-04-29	10153
2013-04-30	11753
2013-05-01	9762
2013-05-02	10729
2013-05-03	10209
2013-05-04	5151
2013-05-05	4891
2013-05-06	9625
2013-05-07	13473
2013-05-08	12452
2013-05-09	12061
2013-05-10	12036
2013-05-11	6625
2013-05-12	5794
2013-05-13	13117
2013-05-14	13516
2013-05-15	12742
2013-05-16	13078
2013-05-17	11638
2013-05-18	6549
2013-05-19	5936
2013-05-20	11377
2013-05-21	13970
2013-05-22	13763
2013-05-23	13112
2013-05-24	12359
2013-05-25	5770
2013-05-26	5430
2013-05-27	10110
2013-05-28	13228
2013-05-29	14763
2013-05-30	13526
2013-05-31	12278
2013-06-01	6312
2013-06-02	5706
2013-06-03	13269
2013-06-04	14459
2013-06-05	14656
2013-06-06	14053
2013-06-07	13690
2013-06-08	6319
2013-06-09	6163
2013-06-10	13462
2013-06-11	15253
2013-06-12	16379
2013-06-13	16986
2013-06-14	14067
2013-06-15	5893
2013-06-16	5622
2013-06-17	15574
2013-06-18	14778
2013-06-19	16410
2013-06-20	14954
2013-06-21	14133
2013-06-22	6759
2013-06-23	7241
2013-06-24	15827
2013-06-25	18850
2013-06-26	17534
2013-06-27	16874
2013-06-28	16518
2013-06-29	7651
2013-06-30	7013
2013-07-01	16768
2013-07-02	19310
2013-07-03	18597
2013-07-04	14881
2013-07-05	13267
2013-07-06	6851
2013-07-07	6769
2013-07-08	17454
2013-07-09	18951
2013-07-10	23110
2013-07-11	20849
2013-07-12	19509
2013-07-13	8848
2013-07-14	9220
2013-07-15	22745
2013-07-16	25156
2013-07-17	26056
2013-07-18	25258
2013-07-19	21767
2013-07-20	10456
2013-07-21	9709
2013-07-22	21557
2013-07-23	24413
2013-07-24	24223
2013-07-25	24084
2013-07-26	21582
2013-07-27	10145
2013-07-28	9285
2013-07-29	22811
2013-07-30	26151
2013-07-31	22588
2013-08-01	22149
2013-08-02	20490
2013-08-03	9686
2013-08-04	7655
2013-08-05	20521
2013-08-06	72832
2013-08-07	28011
2013-08-08	24978
2013-08-09	23391
2013-08-10	13290
2013-08-11	10087
2013-08-12	24330
2013-08-13	27837
2013-08-14	28995
2013-08-15	27317
2013-08-16	24505
2013-08-17	11596
2013-08-18	10840
2013-08-19	27602
2013-08-20	5106
2013-11-02	13717
2013-11-03	17749
2013-11-04	5607
2013-11-06	35373
2013-11-07	44398
2013-11-08	45606
2013-11-09	28753
2013-11-10	27686
2013-11-11	52091
2013-11-12	55991
2013-11-13	48629
2013-11-14	57025
2013-11-15	47045
2013-11-16	22196
2013-11-17	20829
2013-11-18	49904
2013-11-19	54619
2013-11-20	54964
2013-11-21	55240
2013-11-22	54737
2013-11-23	23233
2013-11-24	22066
2013-11-25	55707
2013-11-26	61002
2013-11-27	60173
2013-11-28	43003
2013-11-29	33338
2013-11-30	19390
2013-12-01	20576
2013-12-02	51032
2013-12-03	59723
2013-12-04	64920
2013-12-05	62740
2013-12-06	57256
2013-12-07	26659
2013-12-08	23839
2013-12-09	67197
2013-12-10	72729
2013-12-11	71843
2013-12-12	70151
2013-12-13	62223
2013-12-14	27137
2013-12-15	25543
2013-12-16	67185
2013-12-17	75704
2013-12-18	69874
2013-12-19	34450
2013-12-20	25542
2013-12-21	10513
2013-12-22	9934
2013-12-23	17637
2013-12-24	19395
2013-12-25	1924
2013-12-26	4367
2013-12-27	20005
2013-12-28	9230
2013-12-29	10814
2013-12-30	20959
2013-12-31	13937
2014-01-01	10874
2014-01-02	26762
2014-01-03	24682
2014-01-04	28271
2014-01-05	26418
2014-01-06	63161
2014-01-07	71396
2014-01-08	48389
2014-01-09	2
2014-01-10	7111
2014-01-11	184
2014-01-13	1
2014-01-14	4
2014-01-15	318
2014-01-16	32648
2014-01-17	72446
2014-01-18	33632
2014-01-19	31596
2014-01-20	67358
2014-01-21	87671
2014-01-22	91623
2014-01-23	86300
2014-01-24	76315
2014-01-25	34520
2014-01-26	34883
2014-01-27	78596
2014-01-28	83428
2014-01-29	87139
2014-01-30	81238
2014-01-31	74163
2014-02-01	36285
2014-02-02	32024
2014-02-03	79626
2014-02-04	90522
2014-02-05	91610
2014-02-06	94166
2014-02-07	79050
2014-02-08	39237
2014-02-09	37290
2014-02-10	80003
2014-02-11	89170
2014-02-12	88488
2014-02-13	88051
2014-02-14	80376
2014-02-15	39600
2014-02-16	35803
2014-02-17	75981
2014-02-18	87412
2014-02-19	91181
2014-02-20	16422
2014-02-27	22277
2014-02-28	64666
2014-03-01	39289
2014-03-02	38127
2014-03-03	57157
2014-03-04	88766
2014-03-05	88432
2014-03-06	88121
2014-03-07	88058
2014-03-08	40112
2014-03-09	35749
2014-03-10	81489
2014-03-11	89418
2014-03-12	91619
2014-03-13	91809
2014-03-14	39795
2014-03-15	17346
2014-03-16	18163
2014-03-17	44397
2014-03-18	67594
2014-03-19	86629
2014-03-20	87736
2014-03-21	76537
2014-03-22	35600
2014-03-23	35111
2014-03-24	84016
2014-03-25	89138
2014-03-26	88633
2014-03-27	76245
2014-03-28	84169
2014-03-29	36866
2014-03-30	34892
2014-03-31	84354
2014-04-01	83779
2014-04-02	91806
2014-04-03	91587
2014-04-04	84342
2014-04-05	36591
2014-04-06	35474
2014-04-07	81922
2014-04-08	85446
2014-04-09	93112
2014-04-10	90096
2014-04-11	85690
2014-04-12	36083
2014-04-13	35024
2014-04-14	85558
2014-04-15	92620
2014-04-16	94136
2014-04-17	85899
2014-04-18	67202
2014-04-19	33673
2014-04-20	30767
2014-04-21	68356
2014-04-22	95470
2014-04-23	98350
2014-04-24	97013
2014-04-25	87882
2014-04-26	35558
2014-04-27	35872
2014-04-28	93963
2014-04-29	98333
2014-04-30	93524
2014-05-01	83313
2014-05-02	82690
2014-05-03	38154
2014-05-04	37722
2014-05-05	86253
2014-05-06	107333
2014-05-07	117036
2014-05-08	113534
2014-05-09	96473
2014-05-10	41399
2014-05-11	38793
2014-05-12	107349
2014-05-13	108522
2014-05-14	100799
2014-05-15	106108
2014-05-16	94317
2014-05-17	41408
2014-05-18	42388
2014-05-19	97683
2014-05-20	109978
2014-05-21	117696
2014-05-22	106951
2014-05-23	104168
2014-05-24	49246
2014-05-25	35885
2014-05-26	76625
2014-05-27	106884
2014-05-28	107990
2014-05-29	112815
2014-05-30	102401
2014-05-31	47214
2014-06-01	46675
2014-06-02	95708
2014-06-03	104222
2014-06-04	106138
2014-06-05	116212
2014-06-06	105295
2014-06-07	41581
2014-06-08	42814
2014-06-09	98055
2014-06-10	120748
2014-06-11	118878
2014-06-12	116853
2014-06-13	112229
2014-06-14	45694
2014-06-15	39715
2014-06-16	111276
2014-06-17	111284
2014-06-18	108356
2014-06-19	106045
2014-06-20	97049
2014-06-21	42388
2014-06-22	40394
2014-06-23	107165
2014-06-24	112340
2014-06-25	104596
2014-06-26	109618
2014-06-27	101058
2014-06-28	40845
2014-06-29	39442
2014-06-30	116325
2014-07-01	116127
2014-07-02	120026
2014-07-03	117585
2014-07-04	80150
2014-07-05	37334
2014-07-06	38171
2014-07-07	125591
2014-07-08	125152
2014-07-09	117057
2014-07-10	118319
2014-07-11	113291
2014-07-12	43906
2014-07-13	38542
2014-07-14	117375
2014-07-15	125505
2014-07-16	119926
2014-07-17	125470
2014-07-18	112486
2014-07-19	44367
2014-07-20	28132
2014-07-21	118549
2014-07-22	133107
2014-07-23	123585
2014-07-24	118376
2014-07-25	103982
2014-07-26	43776
2014-07-27	41947
2014-07-28	109702
2014-07-29	121490
2014-07-30	119105
2014-07-31	116012
2014-08-01	109124
2014-08-02	40772
2014-08-03	39813
2014-08-04	110837
2014-08-05	127603
2014-08-06	123037
2014-08-07	122764
2014-08-08	113967
2014-08-09	53561
2014-08-10	68279
2014-08-11	143881
2014-08-12	145942
2014-08-13	135225
2014-08-14	128206
2014-08-15	105601
2014-08-16	49649
2014-08-17	45603
2014-08-18	119584
2014-08-19	131658
2014-08-20	133763
2014-08-21	125690
2014-08-22	118810
2014-08-23	48994
2014-08-24	45927
2014-08-25	121775
2014-08-26	134366
2014-08-27	132999
2014-08-28	127184
2014-08-29	116592
2014-08-30	49985
2014-08-31	50499
2014-09-01	98208
2014-09-02	136847
2014-09-03	142521
2014-09-04	140376
2014-09-05	132775
2014-09-06	52554
2014-09-07	51257
2014-09-08	130088
2014-09-09	135695
2014-09-10	141405
2014-09-11	134509
2014-09-12	121261
2014-09-13	47347
2014-09-14	47398
2014-09-15	125842
2014-09-16	141096
2014-09-17	142904
2014-09-18	139934
2014-09-19	124912
2014-09-20	48213
